ID_Zawodnika,ID_Regat,ID_wariantu_klubu,WynikWRegatach,Trening
2601478,87373489,39262660,,
68160068,87373489,39262660,,
2747521,87373489,39262660,,
978157,87373489,39262660,,
82362175,87373489,39262660,,
99283841,87373489,55674587,,
2508201,87373489,55674587,,
49997823,87373489,55674587,,
41738367,87373489,55674587,,
85957211,87373489,55674587,,
28374567,87373489,64830853,,
2248904,87373489,64830853,,
89701494,87373489,64830853,,
28164958,87373489,64830853,,
66969175,87373489,64830853,,
17281960,87373489,23372296,,
24614586,87373489,23372296,,
64209255,87373489,23372296,,
43318486,87373489,23372296,,
52636159,87373489,5117166,,
60534882,87373489,5117166,,
45152375,87373489,5117166,,
21031157,87373489,5117166,,
64580098,87373489,77440855,,
56650447,87373489,77440855,,
68991758,87373489,77440855,,
73294576,87373489,77440855,,
70877071,87373489,77440855,,
75356731,87373489,20173236,,
35352911,87373489,20173236,,
12795529,87373489,20173236,,
82504240,87373489,20173236,,
43405293,87373489,8699349,,
95416000,87373489,8699349,,
53424240,87373489,8699349,,
19912444,87373489,8699349,,
81240063,14732889,97015711,,
48204045,14732889,97015711,,
82325033,14732889,97015711,,
8499409,14732889,97015711,,
61838003,14732889,75141924,,
57241578,14732889,75141924,,
3651790,14732889,75141924,,
5797727,14732889,75141924,,
52111469,14732889,75141924,,
50933544,14732889,95701656,,
33305205,14732889,95701656,,
21913805,14732889,95701656,,
48092005,14732889,95701656,,
76027076,14732889,95701656,,
95849184,14732889,95701656,,
60153375,14732889,57461405,,
24307135,14732889,57461405,,
60557330,14732889,57461405,,
35452913,14732889,57461405,,
31221524,14732889,57461405,,
93841623,14732889,18767554,,
37387840,14732889,18767554,,
96269851,14732889,18767554,,
72268290,14732889,18767554,,
36451684,14732889,18767554,,
70014022,14732889,18767554,,
86467729,14732889,59287240,,
1644879,14732889,59287240,,
278144,14732889,59287240,,
69817650,14732889,59287240,,
6883088,14732889,59287240,,
71589137,14732889,31561187,,
88404478,14732889,31561187,,
86014501,14732889,31561187,,
13647562,14732889,31561187,,
83892341,14732889,31561187,,
73728079,14732889,73113253,,
73821741,14732889,73113253,,
45466641,14732889,73113253,,
38863535,14732889,73113253,,
15603428,14732889,89761386,,
94977439,14732889,89761386,,
66228283,14732889,89761386,,
39985598,14732889,89761386,,
69935946,14732889,89761386,,
21665175,14732889,39923431,,
61999083,14732889,39923431,,
67917096,14732889,39923431,,
80296865,14732889,39923431,,
9574951,14732889,14947601,,
32257615,14732889,14947601,,
10463259,14732889,14947601,,
34286614,14732889,14947601,,
2017998,14732889,14947601,,
80560727,14732889,53442767,,
16386823,14732889,53442767,,
49449500,14732889,53442767,,
21737312,14732889,53442767,,
8649496,14732889,53442767,,
55887803,14732889,35887754,,
26263252,14732889,35887754,,
81311454,14732889,35887754,,
24449860,14732889,35887754,,
4400026,14732889,90735668,,
51135775,14732889,90735668,,
16159472,14732889,90735668,,
15521977,14732889,90735668,,
37259599,14732889,90735668,,
8752163,14732889,49746069,,
18250325,14732889,49746069,,
11120520,14732889,49746069,,
58147240,14732889,49746069,,
47499738,14732889,21267167,,
5251190,14732889,21267167,,
24283626,14732889,21267167,,
15897980,14732889,21267167,,
56799050,14732889,77473926,,
26079844,14732889,77473926,,
92539064,14732889,77473926,,
69076610,14732889,77473926,,
52648875,14732889,77473926,,
7897917,14732889,832153,,
6236001,14732889,832153,,
7519675,14732889,832153,,
32087038,14732889,832153,,
28374567,69259421,64830853,,
2248904,69259421,64830853,,
89701494,69259421,64830853,,
28164958,69259421,64830853,,
62687687,69259421,3343985,,
99733046,69259421,3343985,,
94801578,69259421,3343985,,
87762857,69259421,3343985,,
27446283,69259421,23474192,,
79147169,69259421,23474192,,
11145436,69259421,23474192,,
36347990,69259421,23474192,,
28772765,69259421,23474192,,
29990326,69259421,5178638,,
56072477,69259421,5178638,,
78724856,69259421,5178638,,
72602300,69259421,5178638,,
47097531,69259421,5178638,,
44546626,69259421,1696220,,
45454244,69259421,1696220,,
56573294,69259421,1696220,,
50158144,69259421,1696220,,
30063637,69259421,1696220,,
52636159,69259421,5117166,,
60534882,69259421,5117166,,
45152375,69259421,5117166,,
21031157,69259421,5117166,,
75356731,69259421,20173236,,
82504240,69259421,20173236,,
12795529,69259421,20173236,,
35352911,69259421,20173236,,
56240541,69259421,2968352,,
54987655,69259421,2968352,,
94551978,69259421,2968352,,
46004647,69259421,2968352,,
55567527,69259421,29673695,,
22260089,69259421,29673695,,
12556542,69259421,29673695,,
16925860,69259421,29673695,,
78820173,69259421,80812925,,
80272718,69259421,80812925,,
67888989,69259421,80812925,,
6918556,69259421,80812925,,
95297254,69259421,80812925,,
17281960,69259421,23372296,,
24614586,69259421,23372296,,
64209255,69259421,23372296,,
43318486,69259421,23372296,,
71770689,69259421,9193535,,
5473020,69259421,9193535,,
29400420,69259421,9193535,,
69738467,69259421,9193535,,
21159438,69259421,9193535,,
43405293,69259421,8699349,,
75895759,69259421,8699349,,
95416000,69259421,8699349,,
53424240,69259421,8699349,,
96729503,69259421,56132742,,
64979107,69259421,56132742,,
26859950,69259421,56132742,,
44449054,69259421,56132742,,
99283841,69259421,55674587,,
2508201,69259421,55674587,,
49997823,69259421,55674587,,
85957211,69259421,55674587,,
41738367,69259421,55674587,,
2601478,69259421,39262660,,
2747521,69259421,39262660,,
978157,69259421,39262660,,
68160068,69259421,39262660,,
30361046,69259421,57004617,,
51426199,69259421,57004617,,
25524724,69259421,57004617,,
28355271,69259421,57004617,,
65824952,69259421,57004617,,
64580098,69259421,77440855,,
73294576,69259421,77440855,,
56650447,69259421,77440855,,
68991758,69259421,77440855,,
70877071,69259421,77440855,,
90931025,133713,21267167,,
24283626,133713,21267167,,
47496297,133713,21267167,,
15897980,133713,21267167,,
69935946,133713,89761386,,
15603428,133713,89761386,,
94977439,133713,89761386,,
38692380,133713,89761386,,
60864164,133713,89761386,,
19858163,133713,49746069,,
65089759,133713,49746069,,
11120520,133713,49746069,,
58147240,133713,49746069,,
80560727,133713,53442767,,
21737312,133713,53442767,,
8649496,133713,53442767,,
16386823,133713,53442767,,
49449500,133713,53442767,,
60153375,133713,57461405,,
24307135,133713,57461405,,
60557330,133713,57461405,,
35452913,133713,57461405,,
31221524,133713,57461405,,
56799050,133713,77473926,,
26079844,133713,77473926,,
92539064,133713,77473926,,
69076610,133713,77473926,,
55887803,133713,35887754,,
26263252,133713,35887754,,
81311454,133713,35887754,,
24449860,133713,35887754,,
61838003,133713,75141924,,
17046182,133713,75141924,,
57241578,133713,75141924,,
52111469,133713,75141924,,
21665175,133713,39923431,,
67917096,133713,39923431,,
61999083,133713,39923431,,
80296865,133713,39923431,,
6236001,133713,832153,,
72393707,133713,832153,,
69999258,133713,832153,,
32087038,133713,832153,,
73728079,133713,73113253,,
70014022,133713,73113253,,
36079322,133713,73113253,,
70898607,133713,73113253,,
71589137,133713,31561187,,
88404478,133713,31561187,,
86014501,133713,31561187,,
83892341,133713,31561187,,
50933544,133713,95701656,,
48092005,133713,95701656,,
33305205,133713,95701656,,
21913805,133713,95701656,,
76027076,133713,95701656,,
95849184,133713,95701656,,
81240063,133713,97015711,,
48204045,133713,97015711,,
82325033,133713,97015711,,
8499409,133713,97015711,,
36451684,133713,18767554,,
37387840,133713,18767554,,
96269851,133713,18767554,,
72268290,133713,18767554,,
9574951,133713,14947601,,
32257615,133713,14947601,,
10463259,133713,14947601,,
34286614,133713,14947601,,
4400026,133713,90735668,,
51135775,133713,90735668,,
37259599,133713,90735668,,
15521977,133713,90735668,,
86467729,133713,59287240,,
1644879,133713,59287240,,
278144,133713,59287240,,
69817650,133713,59287240,,
60153375,41227949,57461405,,
43098518,41227949,57461405,,
64626101,41227949,57461405,,
95127241,41227949,57461405,,
88733739,41227949,48603239,,
51891737,41227949,48603239,,
54766168,41227949,48603239,,
